"* Required Fields","* Required Fields"
"Comment","Nội dung cần liên hệ"
"Contact Form","Form liên hệ"
"Contact Information","Thông tin liên hệ"
"Contact Us","Liên hệ với chúng tôi"
"Contact Us Form","Contact Us Form"
"Contacts","Liên hệ"
"Contacts Section","Contacts Section"
"Email","Email"
"Email Options","Tùy chọn"
"Email Sender","Email người gửi"
"Email Template","Email Template"
"Enable Contact Us","Có thể liên hệ với chúng tôi"
"Name","Tên"
"Send Emails To","Gửi email đến"
"Submit","Gửi đi"
"Telephone","Điện thoại"
"Unable to submit your request. Please, try again later","Yêu cầu gửi không thành công. Mong bạn vui lòng gửi lại vào lúc khác hoặc liên lạc trực tiếp qua số hotline của chúng tôi"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Yêu cầu của bạn đã được gửi đi, chúng tôi sẽ kiểm tra và trả lời bạn trong vòng 24h làm việc. Nếu có yêu cầu gấp, bạn vui lòng liên lạc trực tiếp qua số hotline của chúng tôi."
